activity_no,event_no,trace_length,transitions,process_entropy,process_type,statespace_size,number_of_traces
100,8,10,3.0,min_entropy,memory,10,100.0
100,9,10,3.0,min_entropy,memory,10,100.0
100,10,10,3.0,min_entropy,memory,10,100.0
100,1,36,3.0,med_entropy,memory,10,100.0
69,2,36,3.0,med_entropy,memory,10,100.0
61,3,36,3.0,med_entropy,memory,10,100.0
49,4,36,3.0,med_entropy,memory,10,100.0
42,5,36,3.0,med_entropy,memory,10,100.0
36,6,36,3.0,med_entropy,memory,10,100.0
31,7,36,3.0,med_entropy,memory,10,100.0
26,8,36,3.0,med_entropy,memory,10,100.0
21,9,36,3.0,med_entropy,memory,10,100.0
20,10,36,3.0,med_entropy,memory,10,100.0
18,11,36,3.0,med_entropy,memory,10,100.0
14,12,36,3.0,med_entropy,memory,10,100.0
12,13,36,3.0,med_entropy,memory,10,100.0
10,14,36,3.0,med_entropy,memory,10,100.0
10,15,36,3.0,med_entropy,memory,10,100.0
10,16,36,3.0,med_entropy,memory,10,100.0
8,17,36,3.0,med_entropy,memory,10,100.0
8,18,36,3.0,med_entropy,memory,10,100.0
6,20,36,3.0,med_entropy,memory,10,100.0
6,19,36,3.0,med_entropy,memory,10,100.0
5,21,36,3.0,med_entropy,memory,10,100.0
5,22,36,3.0,med_entropy,memory,10,100.0
4,23,36,3.0,med_entropy,memory,10,100.0
4,24,36,3.0,med_entropy,memory,10,100.0
3,25,36,3.0,med_entropy,memory,10,100.0
3,26,36,3.0,med_entropy,memory,10,100.0
3,27,36,3.0,med_entropy,memory,10,100.0
2,28,36,3.0,med_entropy,memory,10,100.0
2,29,36,3.0,med_entropy,memory,10,100.0
2,30,36,3.0,med_entropy,memory,10,100.0
2,31,36,3.0,med_entropy,memory,10,100.0
2,32,36,3.0,med_entropy,memory,10,100.0
2,33,36,3.0,med_entropy,memory,10,100.0
1,34,36,3.0,med_entropy,memory,10,100.0
1,35,36,3.0,med_entropy,memory,10,100.0
1,36,36,3.0,med_entropy,memory,10,100.0
100,1,52,3.0,max_entropy,memory,10,100.0
89,2,52,3.0,max_entropy,memory,10,100.0
81,3,52,3.0,max_entropy,memory,10,100.0
74,4,52,3.0,max_entropy,memory,10,100.0
66,5,52,3.0,max_entropy,memory,10,100.0
61,6,52,3.0,max_entropy,memory,10,100.0
58,7,52,3.0,max_entropy,memory,10,100.0
53,8,52,3.0,max_entropy,memory,10,100.0
44,9,52,3.0,max_entropy,memory,10,100.0
36,10,52,3.0,max_entropy,memory,10,100.0
30,11,52,3.0,max_entropy,memory,10,100.0
26,12,52,3.0,max_entropy,memory,10,100.0
22,13,52,3.0,max_entropy,memory,10,100.0
18,14,52,3.0,max_entropy,memory,10,100.0
16,15,52,3.0,max_entropy,memory,10,100.0
15,16,52,3.0,max_entropy,memory,10,100.0
12,17,52,3.0,max_entropy,memory,10,100.0
12,18,52,3.0,max_entropy,memory,10,100.0
10,19,52,3.0,max_entropy,memory,10,100.0
10,20,52,3.0,max_entropy,memory,10,100.0
9,21,52,3.0,max_entropy,memory,10,100.0
8,22,52,3.0,max_entropy,memory,10,100.0
7,23,52,3.0,max_entropy,memory,10,100.0
7,24,52,3.0,max_entropy,memory,10,100.0
7,25,52,3.0,max_entropy,memory,10,100.0
6,26,52,3.0,max_entropy,memory,10,100.0
4,27,52,3.0,max_entropy,memory,10,100.0
3,28,52,3.0,max_entropy,memory,10,100.0
3,29,52,3.0,max_entropy,memory,10,100.0
2,30,52,3.0,max_entropy,memory,10,100.0
1,42,52,3.0,max_entropy,memory,10,100.0
1,51,52,3.0,max_entropy,memory,10,100.0
1,50,52,3.0,max_entropy,memory,10,100.0
1,49,52,3.0,max_entropy,memory,10,100.0
1,48,52,3.0,max_entropy,memory,10,100.0
1,47,52,3.0,max_entropy,memory,10,100.0
1,46,52,3.0,max_entropy,memory,10,100.0
1,45,52,3.0,max_entropy,memory,10,100.0
1,44,52,3.0,max_entropy,memory,10,100.0
1,43,52,3.0,max_entropy,memory,10,100.0
1,40,52,3.0,max_entropy,memory,10,100.0
1,41,52,3.0,max_entropy,memory,10,100.0
1,39,52,3.0,max_entropy,memory,10,100.0
1,38,52,3.0,max_entropy,memory,10,100.0
1,37,52,3.0,max_entropy,memory,10,100.0
1,36,52,3.0,max_entropy,memory,10,100.0
1,35,52,3.0,max_entropy,memory,10,100.0
1,34,52,3.0,max_entropy,memory,10,100.0
1,33,52,3.0,max_entropy,memory,10,100.0
1,32,52,3.0,max_entropy,memory,10,100.0
1,31,52,3.0,max_entropy,memory,10,100.0
1,52,52,3.0,max_entropy,memory,10,100.0
100,1,5,5.0,min_entropy,memoryless,5,100.0
100,2,5,5.0,min_entropy,memoryless,5,100.0
100,3,5,5.0,min_entropy,memoryless,5,100.0
100,4,5,5.0,min_entropy,memoryless,5,100.0
100,5,5,5.0,min_entropy,memoryless,5,100.0
100,1,23,5.0,med_entropy,memoryless,5,100.0
82,2,23,5.0,med_entropy,memoryless,5,100.0
65,3,23,5.0,med_entropy,memoryless,5,100.0
55,4,23,5.0,med_entropy,memoryless,5,100.0
48,5,23,5.0,med_entropy,memoryless,5,100.0
39,6,23,5.0,med_entropy,memoryless,5,100.0
34,7,23,5.0,med_entropy,memoryless,5,100.0
28,8,23,5.0,med_entropy,memoryless,5,100.0
21,9,23,5.0,med_entropy,memoryless,5,100.0
16,10,23,5.0,med_entropy,memoryless,5,100.0
11,12,23,5.0,med_entropy,memoryless,5,100.0
11,11,23,5.0,med_entropy,memoryless,5,100.0
7,13,23,5.0,med_entropy,memoryless,5,100.0
6,14,23,5.0,med_entropy,memoryless,5,100.0
5,15,23,5.0,med_entropy,memoryless,5,100.0
3,16,23,5.0,med_entropy,memoryless,5,100.0
2,17,23,5.0,med_entropy,memoryless,5,100.0
2,18,23,5.0,med_entropy,memoryless,5,100.0
1,19,23,5.0,med_entropy,memoryless,5,100.0
1,20,23,5.0,med_entropy,memoryless,5,100.0
1,21,23,5.0,med_entropy,memoryless,5,100.0
1,22,23,5.0,med_entropy,memoryless,5,100.0
1,23,23,5.0,med_entropy,memoryless,5,100.0
100,1,31,5.0,max_entropy,memoryless,5,100.0
79,2,31,5.0,max_entropy,memoryless,5,100.0
66,3,31,5.0,max_entropy,memoryless,5,100.0
56,4,31,5.0,max_entropy,memoryless,5,100.0
44,5,31,5.0,max_entropy,memoryless,5,100.0
33,6,31,5.0,max_entropy,memoryless,5,100.0
28,7,31,5.0,max_entropy,memoryless,5,100.0
25,8,31,5.0,max_entropy,memoryless,5,100.0
22,9,31,5.0,max_entropy,memoryless,5,100.0
21,10,31,5.0,max_entropy,memoryless,5,100.0
16,11,31,5.0,max_entropy,memoryless,5,100.0
15,12,31,5.0,max_entropy,memoryless,5,100.0
13,13,31,5.0,max_entropy,memoryless,5,100.0
12,14,31,5.0,max_entropy,memoryless,5,100.0
10,15,31,5.0,max_entropy,memoryless,5,100.0
9,16,31,5.0,max_entropy,memoryless,5,100.0
7,17,31,5.0,max_entropy,memoryless,5,100.0
5,18,31,5.0,max_entropy,memoryless,5,100.0
3,19,31,5.0,max_entropy,memoryless,5,100.0
3,20,31,5.0,max_entropy,memoryless,5,100.0
2,21,31,5.0,max_entropy,memoryless,5,100.0
1,22,31,5.0,max_entropy,memoryless,5,100.0
1,23,31,5.0,max_entropy,memoryless,5,100.0
1,24,31,5.0,max_entropy,memoryless,5,100.0
1,25,31,5.0,max_entropy,memoryless,5,100.0
1,26,31,5.0,max_entropy,memoryless,5,100.0
1,27,31,5.0,max_entropy,memoryless,5,100.0
1,28,31,5.0,max_entropy,memoryless,5,100.0
1,29,31,5.0,max_entropy,memoryless,5,100.0
1,30,31,5.0,max_entropy,memoryless,5,100.0
1,31,31,5.0,max_entropy,memoryless,5,100.0
100,1,10,5.0,min_entropy,memoryless,10,100.0
100,2,10,5.0,min_entropy,memoryless,10,100.0
100,3,10,5.0,min_entropy,memoryless,10,100.0
100,4,10,5.0,min_entropy,memoryless,10,100.0
100,5,10,5.0,min_entropy,memoryless,10,100.0
100,6,10,5.0,min_entropy,memoryless,10,100.0
100,7,10,5.0,min_entropy,memoryless,10,100.0
100,8,10,5.0,min_entropy,memoryless,10,100.0
100,9,10,5.0,min_entropy,memoryless,10,100.0
100,10,10,5.0,min_entropy,memoryless,10,100.0
100,1,63,5.0,med_entropy,memoryless,10,100.0
92,2,63,5.0,med_entropy,memoryless,10,100.0
90,3,63,5.0,med_entropy,memoryless,10,100.0
78,4,63,5.0,med_entropy,memoryless,10,100.0
71,5,63,5.0,med_entropy,memoryless,10,100.0
59,6,63,5.0,med_entropy,memoryless,10,100.0
56,7,63,5.0,med_entropy,memoryless,10,100.0
50,8,63,5.0,med_entropy,memoryless,10,100.0
44,9,63,5.0,med_entropy,memoryless,10,100.0
41,10,63,5.0,med_entropy,memoryless,10,100.0
39,11,63,5.0,med_entropy,memoryless,10,100.0
36,12,63,5.0,med_entropy,memoryless,10,100.0
33,13,63,5.0,med_entropy,memoryless,10,100.0
29,14,63,5.0,med_entropy,memoryless,10,100.0
26,15,63,5.0,med_entropy,memoryless,10,100.0
25,16,63,5.0,med_entropy,memoryless,10,100.0
23,17,63,5.0,med_entropy,memoryless,10,100.0
19,18,63,5.0,med_entropy,memoryless,10,100.0
18,19,63,5.0,med_entropy,memoryless,10,100.0
17,20,63,5.0,med_entropy,memoryless,10,100.0
15,21,63,5.0,med_entropy,memoryless,10,100.0
15,22,63,5.0,med_entropy,memoryless,10,100.0
14,23,63,5.0,med_entropy,memoryless,10,100.0
14,24,63,5.0,med_entropy,memoryless,10,100.0
11,25,63,5.0,med_entropy,memoryless,10,100.0
10,29,63,5.0,med_entropy,memoryless,10,100.0
10,31,63,5.0,med_entropy,memoryless,10,100.0
10,30,63,5.0,med_entropy,memoryless,10,100.0
10,32,63,5.0,med_entropy,memoryless,10,100.0
10,28,63,5.0,med_entropy,memoryless,10,100.0
10,26,63,5.0,med_entropy,memoryless,10,100.0
10,27,63,5.0,med_entropy,memoryless,10,100.0
8,33,63,5.0,med_entropy,memoryless,10,100.0
8,34,63,5.0,med_entropy,memoryless,10,100.0
8,35,63,5.0,med_entropy,memoryless,10,100.0
8,36,63,5.0,med_entropy,memoryless,10,100.0
8,37,63,5.0,med_entropy,memoryless,10,100.0
7,38,63,5.0,med_entropy,memoryless,10,100.0
6,39,63,5.0,med_entropy,memoryless,10,100.0
6,40,63,5.0,med_entropy,memoryless,10,100.0
5,41,63,5.0,med_entropy,memoryless,10,100.0
4,42,63,5.0,med_entropy,memoryless,10,100.0
4,43,63,5.0,med_entropy,memoryless,10,100.0
3,44,63,5.0,med_entropy,memoryless,10,100.0
2,46,63,5.0,med_entropy,memoryless,10,100.0
2,47,63,5.0,med_entropy,memoryless,10,100.0
2,45,63,5.0,med_entropy,memoryless,10,100.0
1,56,63,5.0,med_entropy,memoryless,10,100.0
1,62,63,5.0,med_entropy,memoryless,10,100.0
1,61,63,5.0,med_entropy,memoryless,10,100.0
1,60,63,5.0,med_entropy,memoryless,10,100.0
1,59,63,5.0,med_entropy,memoryless,10,100.0
1,58,63,5.0,med_entropy,memoryless,10,100.0
1,57,63,5.0,med_entropy,memoryless,10,100.0
1,55,63,5.0,med_entropy,memoryless,10,100.0
1,48,63,5.0,med_entropy,memoryless,10,100.0
1,54,63,5.0,med_entropy,memoryless,10,100.0
1,53,63,5.0,med_entropy,memoryless,10,100.0
1,52,63,5.0,med_entropy,memoryless,10,100.0
1,51,63,5.0,med_entropy,memoryless,10,100.0
1,50,63,5.0,med_entropy,memoryless,10,100.0
1,49,63,5.0,med_entropy,memoryless,10,100.0
1,63,63,5.0,med_entropy,memoryless,10,100.0
100,1,42,5.0,max_entropy,memoryless,10,100.0
89,2,42,5.0,max_entropy,memoryless,10,100.0
77,3,42,5.0,max_entropy,memoryless,10,100.0
67,4,42,5.0,max_entropy,memoryless,10,100.0
59,5,42,5.0,max_entropy,memoryless,10,100.0
50,6,42,5.0,max_entropy,memoryless,10,100.0
44,7,42,5.0,max_entropy,memoryless,10,100.0
38,8,42,5.0,max_entropy,memoryless,10,100.0
34,9,42,5.0,max_entropy,memoryless,10,100.0
30,10,42,5.0,max_entropy,memoryless,10,100.0
25,11,42,5.0,max_entropy,memoryless,10,100.0
